word,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
naturally,0.42424242424242425,0.18181818181818182,0.3939393939393939
nature,0.43529411764705883,0.29411764705882354,0.27058823529411763
nearer,0.45,0.2,0.35
nearest,0.125,0.375,0.5
necessarily,0.5454545454545454,0.18181818181818182,0.2727272727272727
necessary,0.44871794871794873,0.1794871794871795,0.3717948717948718
necessity,0.2702702702702703,0.24324324324324326,0.4864864864864865
needed,0.2222222222222222,0.1111111111111111,0.6666666666666666
negative,0.25,0.5,0.25
neglected,0.42857142857142855,0.2857142857142857,0.2857142857142857
neighbour,0.6153846153846154,0.15384615384615385,0.23076923076923078
neighbourhood,0.35135135135135137,0.3783783783783784,0.2702702702702703
neighbours,0.56,0.32,0.12
neither,0.33962264150943394,0.2358490566037736,0.42452830188679247
nervous,0.5789473684210527,0.15789473684210525,0.2631578947368421
newspaper,0.125,0.25,0.625
nineteen,0.08333333333333333,0.5,0.4166666666666667
noise,0.29411764705882354,0.29411764705882354,0.4117647058823529
nonsense,0.8,0.16,0.04
nonsensical,0.25,0.5,0.25
notice,0.34782608695652173,0.2753623188405797,0.37681159420289856
noticed,0.16666666666666666,0.5,0.3333333333333333
noticing,0.6,0.2,0.2
notion,0.3125,0.0625,0.625
notions,0.35294117647058826,0.47058823529411764,0.17647058823529413
november,0.3333333333333333,0.6,0.06666666666666667
numerous,0.3333333333333333,0.2222222222222222,0.4444444444444444
objected,0.5,0.25,0.25
objection,0.4482758620689655,0.1724137931034483,0.3793103448275862
objections,0.3333333333333333,0.08333333333333333,0.5833333333333334
oblige,0.5,0.16666666666666666,0.3333333333333333
obliged,0.4966887417218543,0.1986754966887417,0.304635761589404
obliging,0.7894736842105263,0.15789473684210525,0.05263157894736842
observant,0.2857142857142857,0.42857142857142855,0.2857142857142857
observation,0.3333333333333333,0.2222222222222222,0.4444444444444444
observations,0.5,0.14285714285714285,0.35714285714285715
observe,0.5238095238095238,0.2619047619047619,0.21428571428571427
observed,0.38461538461538464,0.3269230769230769,0.28846153846153844
observing,0.2727272727272727,0.36363636363636365,0.36363636363636365
obstinate,0.3333333333333333,0.3333333333333333,0.3333333333333333
obtaining,0.3333333333333333,0.3333333333333333,0.3333333333333333
occasion,0.4,0.18461538461538463,0.4153846153846154
occasional,0.3333333333333333,0.1111111111111111,0.5555555555555556
occasionally,0.38461538461538464,0.46153846153846156,0.15384615384615385
occasioned,0.36363636363636365,0.18181818181818182,0.45454545454545453
occasions,0.5833333333333334,0.16666666666666666,0.25
occupation,0.4,0.5,0.1
occupied,0.5172413793103449,0.41379310344827586,0.06896551724137931
occurred,0.4146341463414634,0.2682926829268293,0.3170731707317073
odious,0.6,0.2,0.2
offence,0.25,0.1,0.65
offended,0.25,0.08333333333333333,0.6666666666666666
offered,0.34782608695652173,0.21739130434782608,0.43478260869565216
offering,0.4117647058823529,0.29411764705882354,0.29411764705882354
office,0.3888888888888889,0.2777777777777778,0.3333333333333333
offices,0.18181818181818182,0.18181818181818182,0.6363636363636364
officious,0.3333333333333333,0.3333333333333333,0.3333333333333333
oftener,0.375,0.5,0.125
oldfashioned,0.5,0.25,0.25
opened,0.4444444444444444,0.2777777777777778,0.2777777777777778
opening,0.625,0.16666666666666666,0.20833333333333334
openness,0.25,0.3333333333333333,0.4166666666666667
opinion,0.44516129032258067,0.15483870967741936,0.4
opinions,0.2571428571428571,0.3142857142857143,0.42857142857142855
opportunities,0.3333333333333333,0.3333333333333333,0.3333333333333333
opportunity,0.3,0.21666666666666667,0.48333333333333334
oppose,0.38461538461538464,0.3076923076923077,0.3076923076923077
opposed,0.4444444444444444,0.2222222222222222,0.3333333333333333
opposite,0.5,0.42857142857142855,0.07142857142857142
opposition,0.09090909090909091,0.3181818181818182,0.5909090909090909
oppressed,0.1,0.2,0.7
oppression,0.2,0.2,0.6
ordered,0.6666666666666666,0.2,0.13333333333333333
origin,0.5,0.25,0.25
original,0.7142857142857143,0.14285714285714285,0.14285714285714285
otherwise,0.3584905660377358,0.16981132075471697,0.4716981132075472
ourselves,0.625,0.2916666666666667,0.08333333333333333
outlived,0.16666666666666666,0.3333333333333333,0.5
outward,0.45454545454545453,0.18181818181818182,0.36363636363636365
outwardly,0.3333333333333333,0.3333333333333333,0.3333333333333333
overcome,0.2857142857142857,0.14285714285714285,0.5714285714285714
overheard,0.5,0.25,0.25
overpowered,0.5454545454545454,0.18181818181818182,0.2727272727272727
overpowering,0.2,0.6,0.2
pained,0.1111111111111111,0.2222222222222222,0.6666666666666666
painful,0.13157894736842105,0.2631578947368421,0.6052631578947368
parlour,0.3333333333333333,0.14285714285714285,0.5238095238095238
partial,0.4666666666666667,0.06666666666666667,0.4666666666666667
partiality,0.125,0.25,0.625
particular,0.39805825242718446,0.1553398058252427,0.44660194174757284
particularity,0.3333333333333333,0.3333333333333333,0.3333333333333333
particularly,0.45,0.21,0.34
particulars,0.3333333333333333,0.16666666666666666,0.5
parties,0.4418604651162791,0.16279069767441862,0.3953488372093023
passage,0.5909090909090909,0.13636363636363635,0.2727272727272727
patience,0.55,0.2,0.25
patient,0.25,0.25,0.5
pause,0.2857142857142857,0.2571428571428571,0.45714285714285713
paused,0.45454545454545453,0.18181818181818182,0.36363636363636365
peace,0.44,0.4,0.16
peculiar,0.3684210526315789,0.2631578947368421,0.3684210526315789
peculiarly,0.7333333333333333,0.13333333333333333,0.13333333333333333
penetration,0.5,0.2,0.3
people,0.4972375690607735,0.20994475138121546,0.292817679558011
peoples,0.5,0.25,0.25
perceive,0.28,0.16,0.56
perceived,0.4166666666666667,0.08333333333333333,0.5
perceiving,0.3,0.1,0.6
perfection,0.6666666666666666,0.2,0.13333333333333333
performance,0.3684210526315789,0.21052631578947367,0.42105263157894735
period,0.45,0.375,0.175
permitted,0.5714285714285714,0.14285714285714285,0.2857142857142857
perpetual,0.4444444444444444,0.3333333333333333,0.2222222222222222
perplexed,0.25,0.25,0.5
perplexity,0.4,0.2,0.4
perseverance,0.5,0.25,0.25
persevered,0.5,0.25,0.25
persisting,0.5,0.25,0.25
personal,0.25925925925925924,0.48148148148148145,0.25925925925925924
personally,0.16666666666666666,0.16666666666666666,0.6666666666666666
persuade,0.4666666666666667,0.26666666666666666,0.26666666666666666
