,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
allusion,3.0,1.0,1.0
allusions,1.0,1.0,
allyou,1.0,,
allyour,1.0,,
almost,87.0,60.0,85.0
alone,24.0,21.0,30.0
aloneand,,,1.0
alonei,2.0,,
aloneno,,,1.0
aloneseemed,1.0,,
alonesuch,1.0,,
along,4.0,13.0,10.0
aloud,7.0,2.0,3.0
aloudall,1.0,,
alphabet,1.0,,1.0
alphabetically,1.0,,
alphabets,1.0,,
alphabetstheir,1.0,,
already,44.0,20.0,49.0
alreadybut,1.0,,
also,22.0,18.0,5.0
alsofrank,1.0,,
alsoit,1.0,,
altar,1.0,,2.0
alter,4.0,3.0,2.0
alteration,2.0,2.0,15.0
alterations,,1.0,1.0
altered,5.0,12.0,6.0
alteredso,,,1.0
altering,,1.0,1.0
alternately,,,2.0
alternation,,1.0,
alternative,2.0,,1.0
alternatives,,1.0,
although,1.0,,5.0
altogether,19.0,13.0,15.0
altogetherface,1.0,,
altogetheri,1.0,,
altogetheroh,1.0,,
altogetherthought,1.0,,
always,234.0,110.0,123.0
alwaysbut,1.0,,
alwaysi,1.0,,
am,410.0,125.0,235.0
amazed,4.0,,
amazement,4.0,2.0,9.0
amazementand,,,1.0
amazementwell,,,1.0
amazing,3.0,,1.0
amazingi,1.0,,
amazingly,2.0,1.0,1.0
ambition,2.0,1.0,2.0
ambitious,,1.0,
amended,,,1.0
amendment,1.0,1.0,7.0
amends,4.0,1.0,6.0
amiable,35.0,7.0,17.0
amiableness,1.0,,
amiably,,,1.0
amicable,,1.0,
amid,1.0,,
amidst,1.0,3.0,1.0
amiss,6.0,3.0,1.0
amity,1.0,,
amityhe,1.0,,
among,51.0,39.0,21.0
amongst,3.0,3.0,8.0
amor,1.0,,
amount,4.0,1.0,4.0
amounted,1.0,,1.0
amounting,1.0,,
ample,6.0,2.0,1.0
amply,2.0,,3.0
amshe,1.0,,
amuse,8.0,2.0,4.0
amused,16.0,6.0,3.0
amusedmr,1.0,,
amusement,14.0,9.0,14.0
amusementmiss,1.0,,
amusementmuch,1.0,,
amusements,,1.0,2.0
amuses,2.0,,
amusing,7.0,3.0,1.0
amyou,1.0,,
an,461.0,245.0,340.0
analogy,1.0,3.0,
ancestry,,1.0,
anchorage,,1.0,
ancient,1.0,3.0,2.0
and,4613.0,2782.0,3399.0
andindulging,1.0,,
andmay,1.0,,
andwere,,1.0,
anecdote,1.0,,
anecdotes,,1.0,
anew,,2.0,2.0
angel,5.0,,3.0
anger,7.0,2.0,5.0
angles,1.0,,
angrily,,,1.0
angry,19.0,5.0,12.0
anguish,,1.0,2.0
animate,,3.0,
animated,4.0,4.0,7.0
animatedopen,1.0,,
animating,3.0,,2.0
animation,6.0,5.0,3.0
animationbut,,,1.0
ankle,,,1.0
